Data,Valoarea
1/1/2019,5575
1/2/2019,3737
1/3/2019,3886
1/4/2019,1919
1/5/2019,2185
1/6/2019,560
1/7/2019,4280
1/8/2019,2039
1/9/2019,390
1/10/2019,5814
1/11/2019,1929
1/12/2019,1332
1/13/2019,578
1/14/2019,3654
1/15/2019,5577
1/16/2019,2841
1/17/2019,1574
1/18/2019,662
1/19/2019,4311
1/20/2019,687
1/21/2019,935
1/22/2019,430
1/23/2019,311
1/24/2019,1190
1/25/2019,1110
1/26/2019,949
1/27/2019,4048
1/28/2019,2912
1/29/2019,5356
1/30/2019,1823
1/31/2019,2684
2/1/2019,4062
2/2/2019,2143
2/3/2019,3316
2/4/2019,3860
2/5/2019,3350
2/6/2019,12546
2/7/2019,7453
2/8/2019,4163
2/9/2019,3645
2/10/2019,9580
2/11/2019,1106
2/12/2019,4801
2/13/2019,13146
2/14/2019,3901
2/15/2019,12478
2/16/2019,13354
2/17/2019,13650
2/18/2019,13372
2/19/2019,13983
2/20/2019,11826
2/21/2019,8492
2/22/2019,3880
2/23/2019,16772
2/24/2019,6136
2/25/2019,9901
2/26/2019,9763
2/27/2019,1165
2/28/2019,15827
3/1/2019,7381
3/2/2019,14010
3/3/2019,10825
3/4/2019,14083
3/5/2019,14168
3/6/2019,15629
3/7/2019,7318
3/8/2019,5604
3/9/2019,11342
3/10/2019,3639
3/11/2019,9359
3/12/2019,14161
3/13/2019,11459
3/14/2019,8348
3/15/2019,4227
3/16/2019,3124
3/17/2019,17386
3/18/2019,14310
3/19/2019,6867
3/20/2019,13805
3/21/2019,17078
3/22/2019,16413
3/23/2019,18755
3/24/2019,17130
3/25/2019,7088
3/26/2019,10839
3/27/2019,20377
3/28/2019,18730
3/29/2019,18261
3/30/2019,18415
3/31/2019,18169
4/1/2019,18455
4/2/2019,17133
4/3/2019,14936
4/4/2019,13480
4/5/2019,13325
4/6/2019,8037
4/7/2019,16949
4/8/2019,9879
4/9/2019,17398
4/10/2019,12760
4/11/2019,10794
4/12/2019,8866
4/13/2019,3344
4/14/2019,9567
4/15/2019,20001
4/16/2019,21203
4/17/2019,13612
4/18/2019,18266
4/19/2019,20211
4/20/2019,20459
4/21/2019,19438
4/22/2019,10117
4/23/2019,6440
4/24/2019,16226
4/25/2019,18211
4/26/2019,16928
4/27/2019,7123
4/28/2019,4970
4/29/2019,9153
4/30/2019,7134
5/1/2019,9314
5/2/2019,18159
5/3/2019,16349
5/4/2019,14598
5/5/2019,4960
5/6/2019,3301
5/7/2019,6333
5/8/2019,16128
5/9/2019,5688
5/10/2019,9369
5/11/2019,19378
5/12/2019,19416
5/13/2019,19076
5/14/2019,4932
5/15/2019,4879
5/16/2019,11711
5/17/2019,15088
5/18/2019,18411
5/19/2019,18185
5/20/2019,11241
5/21/2019,13975
5/22/2019,10663
5/23/2019,3665
5/24/2019,12460
5/25/2019,14841
5/26/2019,18917
5/27/2019,4689
5/28/2019,8257
5/29/2019,14671
5/30/2019,7906
5/31/2019,14271
6/1/2019,14368
6/2/2019,16365
6/3/2019,13701
6/4/2019,16457
6/5/2019,11169
6/6/2019,15534
6/7/2019,17864
6/8/2019,18690
6/9/2019,19316
6/10/2019,19405
6/11/2019,15345
6/12/2019,17164
6/13/2019,18608
6/14/2019,17573
6/15/2019,18434
6/16/2019,17042
6/17/2019,15658
6/18/2019,
6/19/2019,14129
6/20/2019,
6/21/2019,
6/22/2019,17945
6/23/2019,14026
6/24/2019,14265
6/25/2019,19138
6/26/2019,18494
6/27/2019,14371
6/28/2019,20782
6/29/2019,19374
